frame,timestamp_s,inference_ms,fps,n_detections,avg_confidence,avg_depth_m,avg_area_px
320,32.366,36.4,26.51,0,0.0,0.0,0.0
321,32.467,37.43,26.55,0,0.0,0.0,0.0
322,32.568,37.79,26.57,0,0.0,0.0,0.0
323,32.666,36.8,26.61,0,0.0,0.0,0.0
324,32.769,37.99,26.65,0,0.0,0.0,0.0
325,32.867,37.56,26.59,0,0.0,0.0,0.0
326,32.967,37.18,26.63,0,0.0,0.0,0.0
327,33.069,38.38,26.67,0,0.0,0.0,0.0
328,33.169,38.07,26.6,0,0.0,0.0,0.0
329,33.268,37.71,26.59,0,0.0,0.0,0.0
330,33.368,37.43,26.53,0,0.0,0.0,0.0
331,33.47,39.22,26.49,0,0.0,0.0,0.0
332,33.57,39.24,26.45,0,0.0,0.0,0.0
333,33.67,39.33,26.45,0,0.0,0.0,0.0
334,33.77,39.3,26.43,0,0.0,0.0,0.0
335,33.871,39.62,26.42,0,0.0,0.0,0.0
336,33.97,39.22,26.4,0,0.0,0.0,0.0
337,34.071,39.54,26.36,0,0.0,0.0,0.0
338,34.168,36.86,26.37,0,0.0,0.0,0.0
339,34.271,39.4,26.35,1,0.8995,2.443,761.0
340,34.369,37.92,26.34,0,0.0,0.0,0.0
341,34.47,38.5,26.32,0,0.0,0.0,0.0
342,34.569,37.28,26.35,0,0.0,0.0,0.0
343,34.671,39.52,26.33,0,0.0,0.0,0.0
344,34.773,40.08,26.32,1,0.8243,2.339,1051.0
345,34.872,39.95,26.2,1,0.7195,2.339,531.0
346,34.972,39.01,26.1,0,0.0,0.0,0.0
347,35.072,39.27,26.11,0,0.0,0.0,0.0
348,35.166,35.07,26.19,0,0.0,0.0,0.0
349,35.269,37.43,26.12,0,0.0,0.0,0.0
350,35.371,39.22,26.06,0,0.0,0.0,0.0
351,35.472,38.8,26.03,0,0.0,0.0,0.0
352,35.572,39.18,25.99,0,0.0,0.0,0.0
353,35.672,39.25,25.94,0,0.0,0.0,0.0
354,35.769,36.74,25.97,0,0.0,0.0,0.0
355,35.87,37.89,25.96,0,0.0,0.0,0.0
356,35.974,40.54,25.88,0,0.0,0.0,0.0
357,36.072,39.36,25.86,0,0.0,0.0,0.0
358,36.172,39.57,25.83,1,0.8113,2.367,993.0
359,36.272,39.06,25.8,0,0.0,0.0,0.0
360,36.372,38.97,25.77,0,0.0,0.0,0.0
361,36.471,37.93,25.79,0,0.0,0.0,0.0
362,36.572,39.06,25.8,0,0.0,0.0,0.0
363,36.672,39.16,25.8,0,0.0,0.0,0.0
364,36.771,37.92,25.83,0,0.0,0.0,0.0
365,36.871,38.07,25.87,0,0.0,0.0,0.0
366,36.972,38.48,25.88,0,0.0,0.0,0.0
367,37.072,38.69,25.9,0,0.0,0.0,0.0
368,37.172,38.39,25.87,0,0.0,0.0,0.0
369,37.272,38.48,25.89,0,0.0,0.0,0.0
370,37.369,36.2,25.93,0,0.0,0.0,0.0
371,37.471,37.36,25.95,0,0.0,0.0,0.0
372,37.567,34.58,26.01,0,0.0,0.0,0.0
373,37.672,38.58,26.03,0,0.0,0.0,0.0
374,37.768,35.28,26.14,0,0.0,0.0,0.0
